run_name,created_at,state,dataset,method,tent_mode,tent_lr,tent_steps,centroid_distance,centroid_logit_scale,accuracy,precision,recall,f1
aigcodeset_centroids_cosine_scale1p0,2026-06-01T09:37:04Z,finished,aigcodeset,centroids,,,,cosine,1.0,0.39733614664328454,0.3803571428566204,0.9791371994307668,0.5478828610262475
aigcodeset_centroids_cosine_scale5p0,2026-06-01T09:38:42Z,finished,aigcodeset,centroids,,,,cosine,5.0,0.39733614664328454,0.3803571428566204,0.9791371994307668,0.5478828610262475
aigcodeset_centroids_cosine_scale10p0,2026-06-01T09:40:20Z,finished,aigcodeset,centroids,,,,cosine,10.0,0.39733614664328454,0.3803571428566204,0.9791371994307668,0.5478828610262475
aigcodeset_centroids_cosine_scale20p0,2026-06-01T09:41:59Z,finished,aigcodeset,centroids,,,,cosine,20.0,0.39733614664328454,0.3803571428566204,0.9791371994307668,0.5478828610262475
aigcodeset_centroids_cosine_scale50p0,2026-06-01T09:43:38Z,finished,aigcodeset,centroids,,,,cosine,50.0,0.39733614664328454,0.3803571428566204,0.9791371994307668,0.5478828610262475
aigcodeset_centroids_euclidean_scale1p0,2026-06-01T09:45:17Z,finished,aigcodeset,centroids,,,,euclidean,1.0,0.39786364235738114,0.3805334066533124,0.9787835926415178,0.5480102909584939
aigcodeset_centroids_euclidean_scale5p0,2026-06-01T09:46:55Z,finished,aigcodeset,centroids,,,,euclidean,5.0,0.39786364235738114,0.3805334066533124,0.9787835926415178,0.5480102909584939
aigcodeset_centroids_euclidean_scale10p0,2026-06-01T09:48:34Z,finished,aigcodeset,centroids,,,,euclidean,10.0,0.39786364235738114,0.3805334066533124,0.9787835926415178,0.5480102909584939
aigcodeset_centroids_euclidean_scale20p0,2026-06-01T09:50:12Z,finished,aigcodeset,centroids,,,,euclidean,20.0,0.39786364235738114,0.3805334066533124,0.9787835926415178,0.5480102909584939
aigcodeset_centroids_euclidean_scale50p0,2026-06-01T09:51:51Z,finished,aigcodeset,centroids,,,,euclidean,50.0,0.39786364235738114,0.3805334066533124,0.9787835926415178,0.5480102909584939
aigcodeset_tent_offline_lr1em06_steps1,2026-06-01T07:29:43Z,finished,aigcodeset,tent,offline,1e-06,1.0,,,0.3801925359351441,0.3753993610218645,0.9971711456824712,0.5454545414795267
aigcodeset_tent_offline_lr1em06_steps3,2026-06-01T07:32:09Z,finished,aigcodeset,tent,offline,1e-06,3.0,,,0.3801925359351441,0.3753993610218645,0.9971711456824712,0.5454545414795267
aigcodeset_tent_offline_lr1em06_steps5,2026-06-01T07:37:32Z,finished,aigcodeset,tent,offline,1e-06,5.0,,,0.38006066200662,0.37534939438256976,0.9971711456824712,0.5454017946907274
aigcodeset_tent_offline_lr1em06_steps10,2026-06-01T07:45:53Z,finished,aigcodeset,tent,offline,1e-06,10.0,,,0.38006066200662,0.37534939438256976,0.9971711456824712,0.5454017946907274
aigcodeset_tent_offline_lr1em05_steps1,2026-06-01T06:57:50Z,finished,aigcodeset,tent,offline,1e-05,1.0,,,0.38006066200662,0.37534939438256976,0.9971711456824712,0.5454017946907274
aigcodeset_tent_offline_lr1em05_steps3,2026-06-01T07:00:16Z,finished,aigcodeset,tent,offline,1e-05,3.0,,,0.38006066200662,0.37534939438256976,0.9971711456824712,0.5454017946907274
aigcodeset_tent_offline_lr1em05_steps5,2026-06-01T07:05:40Z,finished,aigcodeset,tent,offline,1e-05,5.0,,,0.38006066200662,0.37534939438256976,0.9971711456824712,0.5454017946907274
aigcodeset_tent_offline_lr1em05_steps10,2026-06-01T07:14:00Z,finished,aigcodeset,tent,offline,1e-05,10.0,,,0.3797969141495717,0.37524950099750465,0.9971711456824712,0.5452963317116718
aigcodeset_tent_offline_lr0p0001_steps1,2026-06-01T06:25:56Z,finished,aigcodeset,tent,offline,0.0001,1.0,,,0.3797969141495717,0.37524950099750465,0.9971711456824712,0.5452963317116718
aigcodeset_tent_offline_lr0p0001_steps3,2026-06-01T06:28:25Z,finished,aigcodeset,tent,offline,0.0001,3.0,,,0.3794012923639992,0.375099760574122,0.9971711456824712,0.5451382136950842
aigcodeset_tent_offline_lr0p0001_steps5,2026-06-01T06:33:48Z,finished,aigcodeset,tent,offline,0.0001,5.0,,,0.3791375445069509,0.37499999999950134,0.9971711456824712,0.545032852617545
aigcodeset_tent_offline_lr0p0001_steps10,2026-06-01T06:42:08Z,finished,aigcodeset,tent,offline,0.0001,10.0,,,0.3787419227213784,0.37485045859314786,0.9971711456824712,0.5448748873424673
aigcodeset_tent_online_lr1em06_steps1,2026-06-01T09:05:14Z,finished,aigcodeset,tent,online,1e-06,1.0,,,0.38006066200662,0.37534939438256976,0.9971711456824712,0.5454017946907274
aigcodeset_tent_online_lr1em06_steps3,2026-06-01T09:07:40Z,finished,aigcodeset,tent,online,1e-06,3.0,,,0.37953316629252337,0.3751496607684247,0.9971711456824712,0.5451909095109555
aigcodeset_tent_online_lr1em06_steps5,2026-06-01T09:13:03Z,finished,aigcodeset,tent,online,1e-06,5.0,,,0.3791375445069509,0.37499999999950134,0.9971711456824712,0.545032852617545
aigcodeset_tent_online_lr1em06_steps10,2026-06-01T09:21:22Z,finished,aigcodeset,tent,online,1e-06,10.0,,,0.37861004879285426,0.3748339091145697,0.9975247524717202,0.5449101756690555
aigcodeset_tent_online_lr1em05_steps1,2026-06-01T08:33:24Z,finished,aigcodeset,tent,online,1e-05,1.0,,,0.37861004879285426,0.3748339091145697,0.9975247524717202,0.5449101756690555
aigcodeset_tent_online_lr1em05_steps3,2026-06-01T08:35:49Z,finished,aigcodeset,tent,online,1e-05,3.0,,,0.3772913095076127,0.37436985937864903,0.9978783592609692,0.5444723093632574
aigcodeset_tent_online_lr1em05_steps5,2026-06-01T08:41:12Z,finished,aigcodeset,tent,online,1e-05,5.0,,,0.3767638137935161,0.3741713073450355,0.9978783592609692,0.5442622911141348
aigcodeset_tent_online_lr1em05_steps10,2026-06-01T08:49:32Z,finished,aigcodeset,tent,online,1e-05,10.0,,,0.3755769484367987,0.3737253343923007,0.9978783592609692,0.5437903419250615
aigcodeset_tent_online_lr0p0001_steps1,2026-06-01T08:01:35Z,finished,aigcodeset,tent,online,0.0001,1.0,,,0.3747857048656537,0.3734620981606384,0.9982319660502184,0.5435640665089387
aigcodeset_tent_online_lr0p0001_steps3,2026-06-01T08:04:00Z,finished,aigcodeset,tent,online,0.0001,3.0,,,0.3737307134374605,0.3730672657587246,0.9982319660502184,0.5431457391838869
aigcodeset_tent_online_lr0p0001_steps5,2026-06-01T08:09:23Z,finished,aigcodeset,tent,online,0.0001,5.0,,,0.37781880522170935,0.3745686222453218,0.9978783592609692,0.5446824897573324
aigcodeset_tent_online_lr0p0001_steps10,2026-06-01T08:17:42Z,finished,aigcodeset,tent,online,0.0001,10.0,,,0.3779506791502335,0.37455173329741726,0.9971711456824712,0.5445592313288532
