run_name,created_at,state,dataset,method,accuracy,precision,recall,f1
aigcodeset_centroids,2026-05-30T18:18:05Z,finished,aigcodeset,centroids,0.39733614664328454,0.3803571428566204,0.9791371994307668,0.5478828610262475
aigcodeset_none,2026-05-30T18:12:13Z,finished,aigcodeset,none,0.3801925359351441,0.3753993610218645,0.9971711456824712,0.5454545414795267
aigcodeset_tent,2026-05-30T18:13:11Z,finished,aigcodeset,tent,0.38006066200662,0.37534939438256976,0.9971711456824712,0.5454017946907274
aigcodeset_tent_accumulation,2026-05-30T18:15:39Z,finished,aigcodeset,tent_accumulation,0.37861004879285426,0.3748339091145697,0.9975247524717202,0.5449101756690555
java_centroids,2026-05-30T18:07:47Z,finished,java,centroids,0.6067284339297442,0.5597582472925914,0.9997301430232978,0.717680480997408
java_none,2026-05-30T17:52:16Z,finished,java,none,0.5737609067191807,0.5398251578433512,0.9998200953485652,0.7011070065159766
java_tent,2026-05-30T17:54:32Z,finished,java,tent,0.5738058828818144,0.539851376948594,0.9998200953485652,0.7011291192709432
java_tent_accumulation,2026-05-30T18:01:11Z,finished,java,tent_accumulation,0.5708374561479846,0.5381263616555129,0.9998200953485652,0.6996726632079383
python_centroids,2026-05-30T17:21:24Z,finished,python,centroids,0.9982669578174072,0.9990972849100762,0.9974350086648196,0.9982654497970628
python_none,2026-05-30T17:01:29Z,finished,python,none,0.9981976361301174,0.9982666574214808,0.9981282495660324,0.9981974436959248
python_tent,2026-05-30T17:04:22Z,finished,python,tent,0.9981976361301174,0.9982666574214808,0.9981282495660324,0.9981974436959248
python_tent_accumulation,2026-05-30T17:12:54Z,finished,python,tent_accumulation,0.9980936535991828,0.9984737061183582,0.9977123050253048,0.9980928553620118
python_no_comment_centroids,2026-05-30T17:46:48Z,finished,python_no_comment,centroids,0.5268101625591741,0.5137725831163761,0.9995147313684578,0.6786857420785722
python_no_comment_none,2026-05-30T17:26:53Z,finished,python_no_comment,none,0.5137776853486833,0.5069783793283505,0.9997227036388217,0.6727781620844814
python_no_comment_tent,2026-05-30T17:29:45Z,finished,python_no_comment,tent,0.5137083636613935,0.506942735613419,0.9997227036388217,0.6727467766504287
python_no_comment_tent_accumulation,2026-05-30T17:38:17Z,finished,python_no_comment,tent_accumulation,0.510762191951575,0.5054324968454699,0.9997227036388217,0.671415597187074
